record,lat,lon,site
CO14CABT,3.0731,172.7469,"Butaritari Atoll, Gilbert Islands"
CO93COTW,1.4167,173.0333,"Tarawa Atoll, Republic of Kiribati"
CO00URMA,0.933,173,"Maiana Atoll, Republic of Kiribati"
CO99GUMI,-0.533,166.9283,Nauru
CO06QUNG,-4.1916,151.9772,Rabaul
CO13HENG,-10.6907,152.8115,"Misima Island, Papua New Guinea"
CO13HENG,-10.6907,152.8115,"Misima Island, Papua New Guinea"
CO13HENG,-10.6907,152.8115,"Misima Island, Papua New Guinea"
CO96QUVA,-15,167,"Tangoa Island, Vanuatu"
CO04KIVA,-15.7,167.2,"Malo Channel, Espiritu Santo Island, Vanuatu"
CO12GOVA,-15.94,166.04,Vanuatu
CO04BAFI,-16.8167,179.2333,"Savusavu Bay, Fiji"
CO04LIFI,-16.8167,179.2333,Savusavu Bay
CO05BAFI,-16.8167,179.2333,"Savusavu Bay, Fiji"
CO06LIFI,-16.8167,179.2333,"Savusavu Bay, Fiji"
CO07CAFR,-17.73,148.43,Coral Sea
CO99DRGB,-22.1,153,"Abraham Reef, Great Barrier Reef, Australia"
CO98QUNC,-22.48,166.45,"Amedee Island, New Caledonia"